Word,Tag
Mount,B-MOUNTAIN
Everest,I-MOUNTAIN
is,O
the,O
highest,O
mountain,O
in,O
the,O
world,O
located,O
in,O
the,O
Himalayas,O
nan,nan
Kilimanjaro,B-MOUNTAIN
is,O
known,O
for,O
its,O
snow-capped,O
peak,O
despite,O
being,O
near,O
the,O
equator,O
nan,nan
The,B-MOUNTAIN
Andes,I-MOUNTAIN
stretch,O
along,O
the,O
western,O
coast,O
of,O
South,O
America,O
creating,O
a,O
dramatic,O
landscape,O
nan,nan
Mount,B-MOUNTAIN
Fuji,I-MOUNTAIN
is,O
a,O
symbol,O
of,O
Japan,O
and,O
one,O
of,O
the,O
most,O
photographed,O
mountains,O
nan,nan
K2,B-MOUNTAIN
is,O
notorious,O
for,O
its,O
difficulty,O
and,O
deadly,O
reputation,O
among,O
mountaineers,O
nan,nan
Denali,B-MOUNTAIN
in,O
Alaska,O
offers,O
stunning,O
views,O
and,O
is,O
the,O
tallest,O
peak,O
in,O
North,O
America,O
nan,nan
The,B-MOUNTAIN
Matterhorn,I-MOUNTAIN
is,O
famous,O
for,O
its,O
pyramid,O
shape,O
and,O
attracts,O
climbers,O
from,O
around,O
the,O
world,O
nan,nan
Mount,B-MOUNTAIN
Elbrus,I-MOUNTAIN
located,O
in,O
Russia,O
is,O
the,O
highest,O
mountain,O
in,O
Europe,O
nan,nan
The,B-MOUNTAIN
Rocky,I-MOUNTAIN
Mountains,I-MOUNTAIN
offer,O
scenic,O
beauty,O
and,O
are,O
a,O
popular,O
destination,O
for,O
outdoor,O
activities,O
in,O
North,O
America,O
nan,nan
The,B-MOUNTAIN
Alps,I-MOUNTAIN
are,O
home,O
to,O
picturesque,O
villages,O
and,O
world-class,O
ski,O
resorts,O
nan,nan
Aconcagua,B-MOUNTAIN
the,O
tallest,O
mountain,O
in,O
South,O
America,O
is,O
a,O
magnet,O
for,O
serious,O
climbers,O
nan,nan
Mont,B-MOUNTAIN
Blanc,I-MOUNTAIN
straddles,O
the,O
border,O
between,O
France,O
and,O
Italy,O
and,O
is,O
a,O
popular,O
mountaineering,O
spot,O
nan,nan
The,B-MOUNTAIN
Pyrenees,I-MOUNTAIN
form,O
a,O
natural,O
border,O
between,O
France,O
and,O
Spain,O
and,O
are,O
known,O
for,O
their,O
rugged,O
beauty,O
nan,nan
Mount,B-MOUNTAIN
Ararat,I-MOUNTAIN
in,O
Turkey,O
is,O
believed,O
by,O
some,O
to,O
be,O
the,O
resting,O
place,O
of,O
Noahs,O
Ark,O
nan,nan
The,B-MOUNTAIN
Sierra,I-MOUNTAIN
Nevada,I-MOUNTAIN
range,O
in,O
California,O
includes,O
the,O
famous,O
Yosemite,O
National,O
Park,O
nan,nan
Mount,B-MOUNTAIN
Kenya,I-MOUNTAIN
is,O
Africas,O
second-highest,O
mountain,O
and,O
offers,O
challenging,O
trekking,O
routes,O
nan,nan
Mount,B-MOUNTAIN
Kosciuszko,I-MOUNTAIN
is,O
the,O
highest,O
point,O
in,O
Australia,O
and,O
a,O
popular,O
hiking,O
destination,O
nan,nan
The,B-MOUNTAIN
Dolomites,I-MOUNTAIN
in,O
Italy,O
are,O
known,O
for,O
their,O
jagged,O
peaks,O
and,O
stunning,O
landscapes,O
nan,nan
Mount,B-MOUNTAIN
Rainier,I-MOUNTAIN
dominates,O
the,O
skyline,O
near,O
Seattle,O
and,O
is,O
one,O
of,O
the,O
most,O
glaciated,O
peaks,O
in,O
the,O
United,O
States,O
nan,nan
The,B-MOUNTAIN
Drakensberg,I-MOUNTAIN
Mountains,I-MOUNTAIN
in,O
South,O
Africa,O
are,O
famous,O
for,O
their,O
dramatic,O
cliffs,O
and,O
lush,O
valleys,O
nan,nan
Mount,B-MOUNTAIN
St.,I-MOUNTAIN
Helens,I-MOUNTAIN
erupted,O
in,O
1980,O
dramatically,O
altering,O
the,O
landscape,O
of,O
Washington,O
state,O
nan,nan
The,B-MOUNTAIN
Hindu,I-MOUNTAIN
Kush,I-MOUNTAIN
mountains,O
are,O
known,O
for,O
their,O
harsh,O
terrain,O
and,O
high,O
altitudes,O
in,O
Central,O
Asia,O
nan,nan
Mount,B-MOUNTAIN
Olympus,I-MOUNTAIN
in,O
Greece,O
is,O
steeped,O
in,O
mythology,O
as,O
the,O
home,O
of,O
the,O
ancient,O
Greek,O
gods,O
nan,nan
Mount,B-MOUNTAIN
Cook,I-MOUNTAIN
also,O
known,O
as,O
Aoraki,O
is,O
the,O
tallest,O
mountain,O
in,O
New,O
Zealand,O
nan,nan
The,B-MOUNTAIN
Atlas,I-MOUNTAIN
Mountains,I-MOUNTAIN
run,O
across,O
North,O
Africa,O
and,O
are,O
home,O
to,O
diverse,O
cultures,O
and,O
landscapes,O
nan,nan
Mount,B-MOUNTAIN
Shasta,I-MOUNTAIN
in,O
California,O
is,O
revered,O
for,O
its,O
spiritual,O
significance,O
and,O
towering,O
presence,O
nan,nan
The,B-MOUNTAIN
Ural,I-MOUNTAIN
Mountains,I-MOUNTAIN
stretch,O
through,O
Russia,O
and,O
serve,O
as,O
the,O
natural,O
boundary,O
between,O
Europe,O
and,O
Asia,O
nan,nan
The,B-MOUNTAIN
Blue,I-MOUNTAIN
Mountains,I-MOUNTAIN
in,O
Australia,O
are,O
known,O
for,O
their,O
stunning,O
blue-hued,O
eucalyptus,O
forests,O
nan,nan
Mount,B-MOUNTAIN
Hood,I-MOUNTAIN
in,O
Oregon,O
is,O
a,O
popular,O
spot,O
for,O
skiing,O
and,O
snowboarding,O
nan,nan
The,B-MOUNTAIN
Caucasus,I-MOUNTAIN
Mountains,I-MOUNTAIN
in,O
Eastern,O
Europe,O
are,O
home,O
to,O
Mount,B-MOUNTAIN
Elbrus,I-MOUNTAIN
the,O
continents,O
highest,O
peak,O
nan,nan
The,B-MOUNTAIN
Karakoram,I-MOUNTAIN
Range,I-MOUNTAIN
which,O
includes,O
K2,B-MOUNTAIN
is,O
one,O
of,O
the,O
most,O
rugged,O
and,O
remote,O
mountain,O
ranges,O
in,O
the,O
world,O
nan,nan
Mauna,B-MOUNTAIN
Kea,I-MOUNTAIN
in,O
Hawaii,O
if,O
measured,O
from,O
its,O
oceanic,O
base,O
is,O
the,O
tallest,O
mountain,O
on,O
Earth,O
nan,nan
The,B-MOUNTAIN
Alborz,I-MOUNTAIN
Mountains,I-MOUNTAIN
in,O
Iran,O
are,O
home,O
to,O
Mount,B-MOUNTAIN
Damavand,I-MOUNTAIN
the,O
countrys,O
highest,O
peak,O
nan,nan
The,B-MOUNTAIN
Sierra,I-MOUNTAIN
Madre,I-MOUNTAIN
in,O
Mexico,O
is,O
a,O
vast,O
mountain,O
range,O
with,O
diverse,O
ecosystems,O
nan,nan
Mount,B-MOUNTAIN
McKinley,I-MOUNTAIN
now,O
called,O
Denali,B-MOUNTAIN
is,O
revered,O
by,O
Alaskas,O
indigenous,O
peoples,O
nan,nan
The,B-MOUNTAIN
Brooks,I-MOUNTAIN
Range,I-MOUNTAIN
in,O
Alaska,O
is,O
one,O
of,O
the,O
most,O
remote,O
and,O
untouched,O
wilderness,O
areas,O
in,O
the,O
United,O
States,O
nan,nan
The,B-MOUNTAIN
Carpathian,I-MOUNTAIN
Mountains,I-MOUNTAIN
stretch,O
across,O
Central,O
and,O
Eastern,O
Europe,O
harboring,O
rich,O
biodiversity,O
nan,nan
Mount,B-MOUNTAIN
Aso,I-MOUNTAIN
in,O
Japan,O
is,O
one,O
of,O
the,O
worlds,O
largest,O
active,O
volcanoes,O
nan,nan
The,B-MOUNTAIN
Western,I-MOUNTAIN
Ghats,I-MOUNTAIN
in,O
India,O
are,O
a,O
UNESCO,O
World,O
Heritage,O
Site,O
known,O
for,O
their,O
biodiversity,O
nan,nan
Mount,B-MOUNTAIN
Washington,I-MOUNTAIN
in,O
New,O
Hampshire,O
is,O
famous,O
for,O
having,O
some,O
of,O
the,O
most,O
extreme,O
weather,O
conditions,O
on,O
Earth,O
nan,nan
Mount,B-MOUNTAIN
Sinai,I-MOUNTAIN
in,O
Egypt,O
holds,O
religious,O
significance,O
as,O
the,O
place,O
where,O
Moses,O
received,O
the,O
Ten,O
Commandments,O
nan,nan
